,Year,Sales
0,1980,11.379999999999999
1,1981,35.77000000000001
2,1982,28.859999999999996
3,1983,16.790000000000003
4,1984,50.360000000000014
5,1985,53.940000000000005
6,1986,37.07
7,1987,21.739999999999995
8,1988,47.22
9,1989,73.45
10,1990,49.38999999999999
11,1991,32.230000000000004
12,1992,76.15999999999998
13,1993,45.98
14,1994,79.17000000000003
15,1995,88.10999999999991
16,1996,199.14999999999995
17,1997,200.98000000000013
18,1998,256.46999999999963
19,1999,251.27000000000018
20,2000,201.5600000000002
21,2001,331.4699999999991
22,2002,395.5199999999983
23,2003,357.8499999999989
24,2004,419.30999999999864
25,2005,459.9399999999976
26,2006,521.0399999999917
27,2007,611.1299999999934
28,2008,678.8999999999952
29,2009,667.2999999999947
30,2010,600.4499999999948
31,2011,515.9899999999969
32,2012,363.5399999999984
33,2013,368.10999999999865
34,2014,337.0499999999985
35,2015,264.43999999999795
36,2016,70.93000000000013
